catalog_id,fid,original_validation,smiles,hasTertiaryAmine,nHBD,nHBA,cLogP,nHeteroAtoms,RingCount,nRotatableBonds,nAromaticBonds,nAcidicGroup,nBasicGroup,AtomicPolarizability,MolWt,TPSA,MaxTrainSimilarity,ClosestTrainSmiles,ClosestTrainIdentifier,FpClusterId,PhysChemClusterId
Z4043224501,,,C#CCCC1(CCNCc2cc3cnn(C)c3nc2Cl)N=N1,0,1.0,6.0,2.68,7.0,3.0,7.0,10.0,0.0,1.0,46.52,316.8,67.46,0.42,C#CCCC1(CCNC(=O)c2cc(C)n3ncc(C(C)C)c3n2)N=N1,C296,8.0,6.0
Z4224371661,,,C#CCCC1(CCC(=O)Nc2nc3ccc(=O)[nH]c3s2)N=N1,0,2.0,6.0,2.28,8.0,3.0,6.0,10.0,0.0,0.0,43.31,315.36,99.57,0.45,C#CCCC1(CCC(=O)Nc2ccc(C(F)F)nc2)N=N1,C258,2.0,6.0
Z4224447300,,,C#CCCC1(CCC(=O)N2CCC3CCCC(C2)N3C)N=N1,1,0.0,4.0,2.43,5.0,3.0,5.0,0.0,0.0,1.0,52.46,302.42,48.27,0.58,C#CCCC1(CCC(=O)N2CCN3CCCCC2C3)N=N1,C117,11.0,0.0
Z4225918047,,,C#CCCC1(CCNC(=O)COc2ccc3c(C)cc(=O)oc3c2)N=N1,0,1.0,6.0,2.56,7.0,3.0,8.0,11.0,0.0,0.0,52.62,353.38,93.26,0.59,C#CCCC1(CCNC(=O)COc2ccc3c(C)c(C)c(=O)oc3c2C)N=N1,C003,8.0,6.0
Z4225918226,,,C#CCCC1(CCNC(=O)c2ccc(C)c(NC(=O)c3ccco3)c2)N=N1,0,2.0,5.0,3.54,7.0,3.0,8.0,11.0,0.0,0.0,55.34,364.41,96.06,0.51,C#CCCC1(CCNC(=O)c2ccc(C3(OC)COC3)cc2)N=N1,C215,12.0,1.0
Z4225918491,,,C#CCCC1(CCNC(=O)CCc2nc3ccccc3n2-c2ccccc2)N=N1,0,1.0,5.0,4.04,6.0,4.0,9.0,16.0,0.0,0.0,62.12,385.47,71.64,0.52,C#CCCC1(CCNC(=O)Cc2ccc(-n3cccc3)cc2)N=N1,C072,8.0,5.0
Z4225918681,,,C#CCCC1(CCNC(=O)C(NC(=O)c2c(F)cccc2F)C(C)C)N=N1,0,2.0,4.0,2.80,8.0,2.0,9.0,6.0,0.0,0.0,55.23,376.41,82.92,0.59,C#CCCC1(CCNC(=O)C(C)c2ncccc2F)N=N1,C402,5.0,2.0
Z4225918922,,,C#CCCC1(CCNC(=O)c2ccc(N3C(=O)CCC3=O)cc2)N=N1,0,1.0,5.0,2.04,7.0,3.0,7.0,6.0,0.0,0.0,50.49,338.37,91.2,0.60,C#CCCC1(CCNC(=O)c2ccc(-n3cnc4ccccc4c3=O)cc2)N=N1,C166,12.0,13.0
Z4225919251,,,C#CCCC1(CCNC(=O)CC2OC(=O)c3ccccc32)N=N1,0,1.0,5.0,2.37,6.0,3.0,7.0,6.0,0.0,0.0,46.96,311.34,80.12,0.58,C#CCCC1(CCNC(=O)CC2CS(=O)(=O)c3ccccc3O2)N=N1,C185,8.0,4.0
Z4225919334,,,C#CCCC1(CCNC(=O)CCC(=O)c2ccc3c(c2)OCCO3)N=N1,0,1.0,6.0,2.50,7.0,3.0,9.0,6.0,0.0,0.0,53.95,355.39,89.35,0.57,C#CCCC1(CCC(=O)NC(c2ccc3c(c2)OCCO3)C2CC2)N=N1,C130,8.0,7.0
Z4225919343,,,C#CCCC1(CCNC(=O)Cc2sc(C)nc2-c2ccc(C)cc2)N=N1,0,1.0,5.0,4.05,6.0,3.0,8.0,11.0,0.0,0.0,57.97,366.49,66.71,0.58,C#CCCC1(CCNC(=O)Cc2sc(-c3ccn[nH]3)nc2C)N=N1,C347,8.0,1.0
