catalog_id,smiles
Z2866903337,C#CCCC1(CCC(=O)N2CC(Cc3ccccc3Cl)C2)N=N1
Z2866903346,C#CCCC1(CCC(=O)N2CCOCC2c2cccc(F)c2)N=N1
Z2866903348,C#CCCC1(CCC(=O)N2CCc3cc(OC)c(F)cc3C2)N=N1
Z2866903350,C#CCCC1(CCC(=O)N2CCC(n3cc(C(N)=O)nn3)C2)N=N1
Z2866903354,C#CCCC1(CCC(=O)N2CCC3(CC2)COC3)N=N1
Z2866903362,C#CCCC1(CCC(=O)Nc2cnn(C3CCN(C)CC3)c2)N=N1
Z2866903373,C#CCCC1(CCC(=O)Nc2ccc3c(c2)CCC(=O)N3CC2CC2)N=N1
Z2866903375,C#CCCC1(CCC(=O)N2CCN(Cc3nccn3C(F)F)CC2)N=N1
Z2866903377,C#CCCC1(CCC(=O)NCc2nnc3ccc(C(F)(F)F)cn23)N=N1
Z2866903379,C#CCCC1(CCC(=O)N2CCN(CC(N)=O)CC2)N=N1
Z2866903380,C#CCCC1(CCC(=O)N2CCc3ccc(F)cc3C(C)C2)N=N1
Z2866903381,C#CCCC1(CCC(=O)N2CCC(F)(c3ccccc3)CC2)N=N1
Z2866903382,C#CCCC1(CCC(=O)NC2(Cc3cccc(F)c3)CCC2)N=N1
Z2866903383,C#CCCC1(CCC(=O)NC2COc3cc(OC)ccc3C2)N=N1
Z2866903385,C#CCCC1(CCC(=O)NCc2oc3ccc(F)cc3c2C)N=N1
Z2866903388,C#CCCC1(CCC(=O)N2CCC(n3c(C)nc4ccccc43)CC2)N=N1
Z2866903389,C#CCCC1(CCC(=O)N2CCCC2Cn2c(C)nc3ccccc32)N=N1
Z2866903390,C#CCCC1(CCC(=O)N2Cc3ccccc3CC2c2nnc(C)o2)N=N1
Z2866903393,C#CCCC1(CCC(=O)NCC2CC(=O)NC(C)C2)N=N1
Z2866903403,C#CCCC1(CCC(=O)NC2CCN(c3ccc(Cl)c(F)c3)C2)N=N1
Z2866903412,C#CCCC1(CCC(=O)Nc2ccc(-c3nnc4n3CCCC4)cc2)N=N1
Z2866903418,C#CCCC1(CCC(=O)N2CCn3c(Cc4ccccc4)nnc3C2)N=N1
Z2866903438,C#CCCC1(CCC(=O)NC2CCOC(c3ccccc3)C2)N=N1
Z2866903440,C#CCCC1(CCC(=O)N2CCC(COc3ccccc3)C2)N=N1
Z2866903442,C#CCCC1(CCC(=O)NC(C)C2Oc3ccccc3C2C)N=N1
Z2866903452,C#CCCC1(CCC(=O)N2CCCC2Cc2c(F)cccc2Cl)N=N1
Z2866903464,C#CCCC1(CCC(=O)Nc2ccc(-c3ncc4n3CCCC4)cc2)N=N1
Z2866903466,C#CCCC1(CCC(=O)NC2c3ccccc3CCC2n2ccnc2)N=N1
Z2866903468,C#CCCC1(CCC(=O)N2CCN(CC(=O)N3CCOCC3)CC2)N=N1
Z2866903479,C#CCCC1(CCC(=O)N2CCC(N3CCC3)CC2)N=N1
Z2866903485,C#CCCC1(CCC(=O)N[C@H]2C[C@@H](N3CCCC3)C2)N=N1
Z2866903500,C#CCCC1(CCC(=O)N2CCN3CCOc4cccc2c43)N=N1
Z2866903512,C#CCCC1(CCC(=O)Nc2cccc(-c3ccc4c(c3)CCO4)n2)N=N1
Z2866903529,C#CCCC1(CCC(=O)N2CCCN(c3ccc(F)c(F)c3)CC2)N=N1
Z2866903539,C#CCCC1(CCC(=O)NC2CCN(c3c(F)cccc3F)C2=O)N=N1
Z2866903542,C#CCCC1(CCC(=O)N2CC(c3ccccc3)(C(C)C)C2)N=N1
Z2866903555,C#CCCC1(CCC(=O)NCc2cnc(N3CCOCC3)c(F)c2)N=N1
Z2866903559,C#CCCC1(CCC(=O)N2CCC(n3ccnn3)C2)N=N1
Z2866903566,C#CCCC1(CCC(=O)NCCN2CCc3c(Cl)cccc3C2)N=N1
Z2866903571,C#CCCC1(CCC(=O)N2CCNC(=O)C2c2ccccc2Cl)N=N1
Z2866903572,C#CCCC1(CCC(=O)NCc2ccc3c(=O)cc[nH]c3c2)N=N1
Z2866903580,C#CCCC1(CCC(=O)N(C)C[C@@H]2C[C@H](F)CN2c2ccncn2)N=N1
Z2866903584,C#CCCC1(CCC(=O)N2CCN(c3c(F)cccc3OC)CC2)N=N1
Z2866903586,C#CCCC1(CCC(=O)Nc2cnn(CC(=O)N3CCOCC3)c2)N=N1
Z2866903591,C#CCCC1(CCC(=O)NC2(c3cncn3C)CC2)N=N1
Z2866903604,C#CCCC1(CCC(=O)NC2(Cc3cccc(F)c3)CCOCC2)N=N1
Z2866903609,C#CCCC1(CCC(=O)NC2(c3nc(C4CC4)no3)CCOCC2)N=N1
Z2866903624,C#CCCC1(CCC(=O)NC[C@@H]2CCCN(C)[C@H]2c2ccnn2C)N=N1
Z2866903630,C#CCCC1(CCC(=O)N2CCCN(Cc3nccn3CC)CC2)N=N1
Z2866903637,C#CCCC1(CCC(=O)NC2CCCN(c3ccc(F)cc3C)C2)N=N1
Z2866903651,C#CCCC1(CCC(=O)NC2CCCN(Cc3nccn3C)C2=O)N=N1
Z2866903657,C#CCCC1(CCC(=O)N2CCC(NC(=O)c3ccoc3C)CC2)N=N1
Z2866903660,C#CCCC1(CCC(=O)N2CCN(C(=O)c3cc(C)oc3C)CC2)N=N1
Z2866903665,C#CCCC1(CCC(=O)N2CC3(CCOCC3)C2C(=O)O)N=N1
Z2866903676,C#CCCC1(CCC(=O)N2CCN(c3cccc(OCC)n3)CC2)N=N1
Z2866903685,C#CCCC1(CCC(=O)N2CCc3ncc(C)cc32)N=N1
Z2866903691,C#CCCC1(CCC(=O)NC2CCN(c3cc(CC)ncn3)CC2)N=N1
Z2866903693,C#CCCC1(CCC(=O)N2CCC(c3nnc4n3CCCC4)CC2)N=N1
Z2866903696,C#CCCC1(CCC(=O)N2CCN(Cc3ccccc3OC)CC2)N=N1
Z2866903699,C#CCCC1(CCC(=O)N2CCN(c3ccc(C(N)=O)cn3)CC2)N=N1
Z2866903702,C#CCCC1(CCC(=O)N2CCN(c3ncccc3C(N)=O)CC2)N=N1
Z2866903705,C#CCCC1(CCC(=O)Nc2ccc3c(c2)CCN3C(=O)COC)N=N1
Z2866903712,C#CCCC1(CCC(=O)Nc2ccc(N3CCCC3=O)c(OC)c2)N=N1
Z2866903718,C#CCCC1(CCC(=O)NC2CCN(c3ccccc3OC)C2=O)N=N1
Z2866903734,C#CCCC1(CCC(=O)NCC2CCC3(CCCCC3)O2)N=N1
Z2866903736,C#CCCC1(CCC(=O)N2CC3(CCOCC3)C2C(C)C)N=N1
Z2866903742,C#CCCC1(CCC(=O)N2CC(OCc3nnc(C)o3)C2)N=N1
Z2866903748,C#CCCC1(CCC(=O)N2CC(OCc3nc(C)no3)C2)N=N1
Z2866903751,C#CCCC1(CCC(=O)N2CCOC(CC(F)(F)F)C2)N=N1
Z2866903754,C#CCCC1(CCC(=O)N2CC(C)(C)C2c2nccn2CC2CC2)N=N1
Z2866903762,C#CCCC1(CCC(=O)N(C)CC2CCCOC2c2ccccc2)N=N1
Z2866903766,C#CCCC1(CCC(=O)N(C)C2CC(Oc3ccccc3)C2(C)C)N=N1
Z2866903775,C#CCCC1(CCC(=O)Nc2cccc(CN3CCNC(=O)C3)c2)N=N1
Z2866903778,C#CCCC1(CCC(=O)Nc2ccc3c(c2)CN(CC(N)=O)CC3)N=N1
Z2866903780,C#CCCC1(CCC(=O)N2CCN(C(=O)Cc3ccncc3)CC2)N=N1
Z2866903782,C#CCCC1(CCC(=O)NC2CCCN(Cc3ccccn3)C2=O)N=N1
Z2866903801,C#CCCC1(CCC(=O)N2CCC(C(F)(F)F)n3nc(C)cc32)N=N1
Z2866903827,C#CCCC1(CCC(=O)N2CCCNC(=O)C2Cc2ccccc2)N=N1
Z2866903829,C#CCCC1(CCC(=O)N2CCC(NC(=O)c3ccccc3)CC2)N=N1
Z2866903839,C#CCCC1(CCC(=O)N2CCc3ccc(Cl)cc3C2)N=N1
Z2866903842,C#CCCC1(CCC(=O)NC2(c3cccc(Cl)c3)CC2)N=N1
Z2866903844,C#CCCC1(CCC(=O)N2CC34CCCCC3(COC4)C2)N=N1
Z2866903846,C#CCCC1(CCC(=O)N2CCC(c3nc(C)no3)CC2)N=N1
Z2866903849,C#CCCC1(CCC(=O)N2CCCC(c3noc(C)n3)C2)N=N1
Z2866903852,C#CCCC1(CCC(=O)N2CCCC(c3nc(C)no3)C2)N=N1
Z2866903859,C#CCCC1(CCC(=O)N[C@@H]2CCOc3c(F)cccc32)N=N1
Z2866903863,C#CCCC1(CCC(=O)N2CCC(CC(F)(F)F)CC2)N=N1
Z2866903866,C#CCCC1(CCC(=O)N2CCc3occc3C2C(=O)O)N=N1
Z2866903871,C#CCCC1(CCC(=O)N2CCS(=O)(=O)C3(CCCCC3)C2)N=N1
Z2866903874,C#CCCC1(CCC(=O)N2C3CCC2c2cnc(C(C)C)nc2C3)N=N1
Z2866903877,C#CCCC1(CCC(=O)N2CC3(CCOCC3)C2c2ccccc2)N=N1
Z2866903879,C#CCCC1(CCC(=O)N2CCC[C@H]3O[C@@H](c4ccccc4)C[C@H]32)N=N1
Z2866903881,C#CCCC1(CCC(=O)N2CCC3(CC2)OCCc2ccccc23)N=N1
